Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
-0.146,-2.63E-06,-2.93E-06,-2.84E-06,-2.66E-06,-2.91E-06
-0.142,-2.62E-06,-2.86E-06,-2.81E-06,-2.65E-06,-2.89E-06
-0.138,-2.62E-06,-2.80E-06,-2.78E-06,-2.64E-06,-2.86E-06
-0.134,-2.62E-06,-2.75E-06,-2.75E-06,-2.63E-06,-2.84E-06
-0.13,-2.63E-06,-2.70E-06,-2.73E-06,-2.63E-06,-2.81E-06
-0.126,-2.64E-06,-2.65E-06,-2.71E-06,-2.64E-06,-2.79E-06
-0.122,-2.66E-06,-2.61E-06,-2.70E-06,-2.65E-06,-2.78E-06
-0.118,-2.67E-06,-2.56E-06,-2.70E-06,-2.68E-06,-2.78E-06
-0.114,-2.70E-06,-2.53E-06,-2.70E-06,-2.71E-06,-2.79E-06
-0.11,-2.73E-06,-2.49E-06,-2.69E-06,-2.75E-06,-2.79E-06
-0.106,-2.77E-06,-2.46E-06,-2.69E-06,-2.80E-06,-2.80E-06
-0.102,-2.82E-06,-2.44E-06,-2.69E-06,-2.84E-06,-2.82E-06
-0.098,-2.87E-06,-2.42E-06,-2.69E-06,-2.90E-06,-2.84E-06
-0.094,-2.93E-06,-2.41E-06,-2.70E-06,-2.96E-06,-2.87E-06
-0.09,-3.01E-06,-2.41E-06,-2.72E-06,-3.04E-06,-2.90E-06
-0.086,-3.08E-06,-2.40E-06,-2.75E-06,-3.13E-06,-2.94E-06
-0.082,-3.17E-06,-2.40E-06,-2.78E-06,-3.23E-06,-2.99E-06
-0.078,-3.27E-06,-2.40E-06,-2.82E-06,-3.35E-06,-3.06E-06
-0.074,-3.38E-06,-2.41E-06,-2.87E-06,-3.50E-06,-3.14E-06
-0.07,-3.50E-06,-2.42E-06,-2.92E-06,-3.66E-06,-3.23E-06
-0.066,-3.63E-06,-2.44E-06,-2.97E-06,-3.86E-06,-3.35E-06
-0.062,-3.77E-06,-2.45E-06,-3.04E-06,-4.07E-06,-3.49E-06
-0.058,-3.92E-06,-2.48E-06,-3.10E-06,-4.29E-06,-3.65E-06
-0.054,-4.10E-06,-2.53E-06,-3.18E-06,-4.54E-06,-3.84E-06
-0.05,-4.29E-06,-2.58E-06,-3.27E-06,-4.81E-06,-4.04E-06
-0.046,-4.51E-06,-2.64E-06,-3.37E-06,-5.10E-06,-4.27E-06
-0.042,-4.73E-06,-2.71E-06,-3.48E-06,-5.43E-06,-4.52E-06
-0.038,-5.02E-06,-2.80E-06,-3.59E-06,-5.79E-06,-4.79E-06
-0.034,-5.41E-06,-2.91E-06,-3.71E-06,-6.20E-06,-5.11E-06
-0.03,-5.93E-06,-3.04E-06,-3.85E-06,-6.67E-06,-5.47E-06
-0.026,-6.57E-06,-3.21E-06,-4.00E-06,-7.17E-06,-5.88E-06
-0.022,-7.16E-06,-3.42E-06,-4.18E-06,-7.70E-06,-6.34E-06
-0.018,-7.51E-06,-3.67E-06,-4.40E-06,-8.27E-06,-6.86E-06
-0.014,-7.73E-06,-3.97E-06,-4.65E-06,-8.89E-06,-7.42E-06
-0.01,-7.93E-06,-4.39E-06,-4.88E-06,-9.56E-06,-8.05E-06
-0.006,-8.26E-06,-5.03E-06,-5.08E-06,-1.03E-05,-8.73E-06
-0.002,-8.79E-06,-5.89E-06,-5.25E-06,-1.11E-05,-9.49E-06
0.002,-9.45E-06,-6.77E-06,-5.44E-06,-1.19E-05,-1.03E-05
0.006,-1.01E-05,-7.34E-06,-5.66E-06,-1.27E-05,-1.12E-05
0.01,-1.08E-05,-7.39E-06,-5.92E-06,-1.36E-05,-1.21E-05
0.014,-1.16E-05,-7.00E-06,-6.18E-06,-1.45E-05,-1.31E-05
0.018,-1.24E-05,-6.49E-06,-6.45E-06,-1.55E-05,-1.42E-05
0.022,-1.33E-05,-6.17E-06,-6.74E-06,-1.66E-05,-1.53E-05
0.026,-1.41E-05,-6.17E-06,-7.03E-06,-1.76E-05,-1.64E-05
0.03,-1.50E-05,-6.42E-06,-7.32E-06,-1.87E-05,-1.75E-05
0.034,-1.59E-05,-6.79E-06,-7.60E-06,-1.98E-05,-1.87E-05
0.038,-1.68E-05,-7.22E-06,-7.87E-06,-2.08E-05,-1.98E-05
0.042,-1.78E-05,-7.68E-06,-8.14E-06,-2.17E-05,-2.08E-05
0.046,-1.87E-05,-8.16E-06,-8.40E-06,-2.27E-05,-2.18E-05
0.05,-1.95E-05,-8.65E-06,-8.64E-06,-2.35E-05,-2.28E-05
0.054,-2.04E-05,-9.15E-06,-8.87E-06,-2.43E-05,-2.37E-05
0.058,-2.12E-05,-9.66E-06,-9.06E-06,-2.50E-05,-2.45E-05
0.062,-2.19E-05,-1.02E-05,-9.22E-06,-2.55E-05,-2.52E-05
0.066,-2.25E-05,-1.08E-05,-9.34E-06,-2.58E-05,-2.57E-05
0.07,-2.30E-05,-1.13E-05,-9.42E-06,-2.60E-05,-2.62E-05
0.074,-2.34E-05,-1.18E-05,-9.46E-06,-2.61E-05,-2.65E-05
0.078,-2.36E-05,-1.23E-05,-9.46E-06,-2.60E-05,-2.66E-05
0.082,-2.37E-05,-1.27E-05,-9.42E-06,-2.58E-05,-2.66E-05
0.086,-2.37E-05,-1.31E-05,-9.35E-06,-2.55E-05,-2.64E-05
0.09,-2.35E-05,-1.34E-05,-9.22E-06,-2.50E-05,-2.61E-05
0.094,-2.31E-05,-1.37E-05,-9.07E-06,-2.44E-05,-2.56E-05
0.098,-2.26E-05,-1.38E-05,-8.88E-06,-2.36E-05,-2.50E-05
0.102,-2.20E-05,-1.39E-05,-8.66E-06,-2.28E-05,-2.43E-05
0.106,-2.13E-05,-1.39E-05,-8.41E-06,-2.19E-05,-2.34E-05
0.11,-2.04E-05,-1.38E-05,-8.14E-06,-2.08E-05,-2.25E-05
0.114,-1.95E-05,-1.36E-05,-7.83E-06,-1.98E-05,-2.15E-05
0.118,-1.85E-05,-1.34E-05,-7.52E-06,-1.87E-05,-2.04E-05
0.122,-1.75E-05,-1.31E-05,-7.20E-06,-1.76E-05,-1.94E-05
0.126,-1.64E-05,-1.27E-05,-6.88E-06,-1.64E-05,-1.83E-05
0.13,-1.53E-05,-1.23E-05,-6.55E-06,-1.53E-05,-1.72E-05
0.134,-1.43E-05,-1.18E-05,-6.23E-06,-1.42E-05,-1.62E-05
0.138,-1.33E-05,-1.13E-05,-5.93E-06,-1.32E-05,-1.51E-05
0.142,-1.23E-05,-1.07E-05,-5.63E-06,-1.22E-05,-1.42E-05
0.146,-1.14E-05,-1.02E-05,-5.34E-06,-1.13E-05,-1.32E-05
0.15,-1.05E-05,-9.61E-06,-5.07E-06,-1.04E-05,-1.24E-05
0.154,-9.70E-06,-9.06E-06,-4.81E-06,-9.58E-06,-1.15E-05
0.158,-8.96E-06,-8.51E-06,-4.56E-06,-8.83E-06,-1.08E-05
0.162,-8.28E-06,-8.00E-06,-4.34E-06,-8.15E-06,-1.01E-05
0.166,-7.65E-06,-7.50E-06,-4.13E-06,-7.53E-06,-9.41E-06
0.17,-7.08E-06,-7.03E-06,-3.93E-06,-6.97E-06,-8.81E-06
0.174,-6.55E-06,-6.58E-06,-3.75E-06,-6.47E-06,-8.26E-06
0.178,-6.08E-06,-6.16E-06,-3.59E-06,-6.01E-06,-7.74E-06
0.182,-5.66E-06,-5.79E-06,-3.44E-06,-5.60E-06,-7.26E-06
0.186,-5.29E-06,-5.44E-06,-3.30E-06,-5.24E-06,-6.82E-06
0.19,-4.96E-06,-5.11E-06,-3.17E-06,-4.91E-06,-6.41E-06
0.194,-4.67E-06,-4.81E-06,-3.06E-06,-4.63E-06,-6.03E-06
0.198,-4.41E-06,-4.54E-06,-2.96E-06,-4.38E-06,-5.68E-06
0.202,-4.18E-06,-4.28E-06,-2.86E-06,-4.16E-06,-5.36E-06
0.206,-3.97E-06,-4.05E-06,-2.78E-06,-3.95E-06,-5.05E-06
0.21,-3.78E-06,-3.83E-06,-2.70E-06,-3.77E-06,-4.77E-06
0.214,-3.61E-06,-3.64E-06,-2.63E-06,-3.61E-06,-4.52E-06
0.218,-3.47E-06,-3.46E-06,-2.56E-06,-3.47E-06,-4.29E-06
0.222,-3.35E-06,-3.31E-06,-2.49E-06,-3.34E-06,-4.08E-06
0.226,-3.24E-06,-3.17E-06,-2.44E-06,-3.25E-06,-3.89E-06
0.23,-3.15E-06,-3.05E-06,-2.38E-06,-3.15E-06,-3.71E-06
0.234,-3.07E-06,-2.94E-06,-2.33E-06,-3.07E-06,-3.54E-06
0.238,-2.99E-06,-2.85E-06,-2.29E-06,-3.00E-06,-3.39E-06
0.242,-2.92E-06,-2.76E-06,-2.24E-06,-2.94E-06,-3.25E-06
0.246,-2.86E-06,-2.68E-06,-2.20E-06,-2.89E-06,-3.12E-06
0.25,-2.80E-06,-2.61E-06,-2.17E-06,-2.86E-06,-3.01E-06
0.254,-2.74E-06,-2.55E-06,-2.13E-06,-2.83E-06,-2.91E-06
0.258,-2.70E-06,-2.50E-06,-2.10E-06,-2.80E-06,-2.81E-06
0.262,-2.66E-06,-2.46E-06,-2.08E-06,-2.78E-06,-2.73E-06
0.266,-2.63E-06,-2.41E-06,-2.05E-06,-2.76E-06,-2.65E-06
0.27,-2.59E-06,-2.38E-06,-2.02E-06,-2.75E-06,-2.58E-06
0.274,-2.55E-06,-2.35E-06,-1.99E-06,-2.74E-06,-2.53E-06
0.278,-2.51E-06,-2.32E-06,-1.97E-06,-2.72E-06,-2.47E-06
0.282,-2.47E-06,-2.30E-06,-1.94E-06,-2.72E-06,-2.42E-06
0.286,-2.44E-06,-2.28E-06,-1.92E-06,-2.71E-06,-2.36E-06
0.29,-2.41E-06,-2.26E-06,-1.90E-06,-2.69E-06,-2.31E-06
0.294,-2.37E-06,-2.25E-06,-1.88E-06,-2.68E-06,-2.27E-06
0.298,-2.34E-06,-2.25E-06,-1.86E-06,-2.67E-06,-2.23E-06
0.302,-2.30E-06,-2.24E-06,-1.84E-06,-2.66E-06,-2.20E-06
0.306,-2.27E-06,-2.24E-06,-1.82E-06,-2.65E-06,-2.18E-06
0.31,-2.24E-06,-2.24E-06,-1.80E-06,-2.64E-06,-2.16E-06
0.314,-2.21E-06,-2.25E-06,-1.78E-06,-2.63E-06,-2.14E-06
0.318,-2.17E-06,-2.26E-06,-1.76E-06,-2.61E-06,-2.13E-06
0.322,-2.13E-06,-2.28E-06,-1.74E-06,-2.60E-06,-2.11E-06
0.326,-2.09E-06,-2.30E-06,-1.72E-06,-2.58E-06,-2.09E-06
0.33,-2.06E-06,-2.33E-06,-1.70E-06,-2.56E-06,-2.08E-06
0.334,-2.03E-06,-2.34E-06,-1.69E-06,-2.54E-06,-2.06E-06
0.338,-2.00E-06,-2.36E-06,-1.67E-06,-2.51E-06,-2.04E-06
0.342,-1.96E-06,-2.38E-06,-1.65E-06,-2.49E-06,-2.03E-06
0.346,-1.92E-06,-2.41E-06,-1.64E-06,-2.46E-06,-2.02E-06
0.35,-1.88E-06,-2.43E-06,-1.63E-06,-2.43E-06,-2.01E-06
