Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
0.134,-4.07E-06,-2.94E-06,-7.06E-06,-3.13E-06,-3.39E-06
0.138,-3.88E-06,-2.85E-06,-6.57E-06,-2.98E-06,-3.24E-06
0.142,-3.70E-06,-2.75E-06,-6.10E-06,-2.83E-06,-3.11E-06
0.146,-3.53E-06,-2.66E-06,-5.65E-06,-2.70E-06,-2.98E-06
0.15,-3.36E-06,-2.57E-06,-5.23E-06,-2.57E-06,-2.85E-06
0.154,-3.20E-06,-2.48E-06,-4.85E-06,-2.44E-06,-2.73E-06
0.158,-3.06E-06,-2.40E-06,-4.51E-06,-2.34E-06,-2.61E-06
0.162,-2.92E-06,-2.32E-06,-4.19E-06,-2.23E-06,-2.50E-06
0.166,-2.80E-06,-2.24E-06,-3.91E-06,-2.14E-06,-2.40E-06
0.17,-2.69E-06,-2.17E-06,-3.65E-06,-2.05E-06,-2.31E-06
0.174,-2.58E-06,-2.10E-06,-3.42E-06,-1.96E-06,-2.21E-06
0.178,-2.48E-06,-2.03E-06,-3.21E-06,-1.89E-06,-2.12E-06
0.182,-2.39E-06,-1.97E-06,-3.02E-06,-1.82E-06,-2.05E-06
0.186,-2.30E-06,-1.91E-06,-2.86E-06,-1.76E-06,-1.97E-06
0.19,-2.23E-06,-1.86E-06,-2.71E-06,-1.70E-06,-1.90E-06
0.194,-2.16E-06,-1.81E-06,-2.59E-06,-1.65E-06,-1.84E-06
0.198,-2.09E-06,-1.77E-06,-2.47E-06,-1.60E-06,-1.79E-06
0.202,-2.03E-06,-1.72E-06,-2.36E-06,-1.56E-06,-1.73E-06
0.206,-1.97E-06,-1.68E-06,-2.26E-06,-1.52E-06,-1.68E-06
0.21,-1.91E-06,-1.63E-06,-2.17E-06,-1.49E-06,-1.64E-06
0.214,-1.86E-06,-1.60E-06,-2.10E-06,-1.45E-06,-1.59E-06
0.218,-1.82E-06,-1.56E-06,-2.04E-06,-1.42E-06,-1.55E-06
0.222,-1.78E-06,-1.54E-06,-1.99E-06,-1.39E-06,-1.52E-06
0.226,-1.74E-06,-1.51E-06,-1.94E-06,-1.37E-06,-1.49E-06
0.23,-1.71E-06,-1.50E-06,-1.90E-06,-1.34E-06,-1.47E-06
0.234,-1.67E-06,-1.48E-06,-1.86E-06,-1.32E-06,-1.45E-06
0.238,-1.65E-06,-1.46E-06,-1.83E-06,-1.30E-06,-1.42E-06
0.242,-1.63E-06,-1.45E-06,-1.80E-06,-1.29E-06,-1.40E-06
0.246,-1.61E-06,-1.43E-06,-1.78E-06,-1.28E-06,-1.39E-06
0.25,-1.58E-06,-1.42E-06,-1.76E-06,-1.27E-06,-1.38E-06
0.254,-1.56E-06,-1.42E-06,-1.75E-06,-1.26E-06,-1.36E-06
0.258,-1.54E-06,-1.40E-06,-1.74E-06,-1.25E-06,-1.35E-06
0.262,-1.52E-06,-1.40E-06,-1.73E-06,-1.24E-06,-1.35E-06
0.266,-1.51E-06,-1.39E-06,-1.72E-06,-1.23E-06,-1.34E-06
0.27,-1.50E-06,-1.39E-06,-1.72E-06,-1.23E-06,-1.34E-06
0.274,-1.49E-06,-1.39E-06,-1.71E-06,-1.23E-06,-1.34E-06
0.278,-1.49E-06,-1.39E-06,-1.70E-06,-1.23E-06,-1.34E-06
0.282,-1.48E-06,-1.38E-06,-1.70E-06,-1.22E-06,-1.34E-06
0.286,-1.48E-06,-1.38E-06,-1.71E-06,-1.22E-06,-1.34E-06
0.29,-1.47E-06,-1.38E-06,-1.71E-06,-1.22E-06,-1.34E-06
0.294,-1.47E-06,-1.39E-06,-1.71E-06,-1.22E-06,-1.35E-06
0.298,-1.46E-06,-1.39E-06,-1.71E-06,-1.22E-06,-1.34E-06
0.302,-1.45E-06,-1.39E-06,-1.72E-06,-1.22E-06,-1.35E-06
0.306,-1.45E-06,-1.39E-06,-1.73E-06,-1.22E-06,-1.35E-06
0.31,-1.45E-06,-1.40E-06,-1.73E-06,-1.22E-06,-1.35E-06
0.314,-1.45E-06,-1.40E-06,-1.74E-06,-1.22E-06,-1.36E-06
0.318,-1.45E-06,-1.41E-06,-1.75E-06,-1.22E-06,-1.36E-06
0.322,-1.45E-06,-1.41E-06,-1.75E-06,-1.22E-06,-1.36E-06
0.326,-1.45E-06,-1.41E-06,-1.76E-06,-1.22E-06,-1.37E-06
0.33,-1.44E-06,-1.42E-06,-1.76E-06,-1.22E-06,-1.38E-06
0.334,-1.44E-06,-1.43E-06,-1.76E-06,-1.22E-06,-1.39E-06
0.338,-1.44E-06,-1.43E-06,-1.76E-06,-1.22E-06,-1.39E-06
0.342,-1.44E-06,-1.44E-06,-1.76E-06,-1.21E-06,-1.40E-06
0.346,-1.43E-06,-1.45E-06,-1.77E-06,-1.21E-06,-1.40E-06
0.35,-1.43E-06,-1.45E-06,-1.77E-06,-1.21E-06,-1.40E-06
