Potential/V,Current/A,,,,
,SPGE1,SPGE2,SPGE3,SPGE4,SPGE5
0.134,-6.89E-06,-3.79E-06,-5.27E-06,-3.84E-06,-1.26E-05
0.138,-6.45E-06,-3.65E-06,-5.05E-06,-3.62E-06,-1.20E-05
0.142,-6.02E-06,-3.52E-06,-4.85E-06,-3.41E-06,-1.14E-05
0.146,-5.61E-06,-3.39E-06,-4.66E-06,-3.22E-06,-1.08E-05
0.15,-5.21E-06,-3.26E-06,-4.47E-06,-3.03E-06,-1.01E-05
0.154,-4.84E-06,-3.14E-06,-4.28E-06,-2.86E-06,-9.47E-06
0.158,-4.49E-06,-3.02E-06,-4.11E-06,-2.71E-06,-8.85E-06
0.162,-4.18E-06,-2.91E-06,-3.94E-06,-2.57E-06,-8.25E-06
0.166,-3.90E-06,-2.80E-06,-3.79E-06,-2.44E-06,-7.68E-06
0.17,-3.65E-06,-2.70E-06,-3.64E-06,-2.32E-06,-7.14E-06
0.174,-3.42E-06,-2.60E-06,-3.51E-06,-2.20E-06,-6.64E-06
0.178,-3.23E-06,-2.51E-06,-3.38E-06,-2.09E-06,-6.17E-06
0.182,-3.05E-06,-2.43E-06,-3.26E-06,-2.00E-06,-5.75E-06
0.186,-2.88E-06,-2.34E-06,-3.15E-06,-1.91E-06,-5.36E-06
0.19,-2.74E-06,-2.25E-06,-3.06E-06,-1.84E-06,-5.01E-06
0.194,-2.61E-06,-2.17E-06,-2.96E-06,-1.77E-06,-4.70E-06
0.198,-2.49E-06,-2.10E-06,-2.88E-06,-1.71E-06,-4.42E-06
0.202,-2.38E-06,-2.03E-06,-2.80E-06,-1.66E-06,-4.16E-06
0.206,-2.28E-06,-1.97E-06,-2.72E-06,-1.61E-06,-3.92E-06
0.21,-2.20E-06,-1.91E-06,-2.65E-06,-1.57E-06,-3.71E-06
0.214,-2.13E-06,-1.84E-06,-2.58E-06,-1.53E-06,-3.52E-06
0.218,-2.06E-06,-1.79E-06,-2.52E-06,-1.49E-06,-3.36E-06
0.222,-2.00E-06,-1.74E-06,-2.46E-06,-1.46E-06,-3.22E-06
0.226,-1.95E-06,-1.70E-06,-2.41E-06,-1.43E-06,-3.09E-06
0.23,-1.90E-06,-1.65E-06,-2.36E-06,-1.41E-06,-2.98E-06
0.234,-1.86E-06,-1.61E-06,-2.32E-06,-1.39E-06,-2.90E-06
0.238,-1.82E-06,-1.58E-06,-2.28E-06,-1.37E-06,-2.82E-06
0.242,-1.79E-06,-1.55E-06,-2.24E-06,-1.35E-06,-2.75E-06
0.246,-1.76E-06,-1.52E-06,-2.21E-06,-1.34E-06,-2.70E-06
0.25,-1.73E-06,-1.49E-06,-2.18E-06,-1.33E-06,-2.64E-06
0.254,-1.70E-06,-1.46E-06,-2.15E-06,-1.31E-06,-2.60E-06
0.258,-1.68E-06,-1.44E-06,-2.13E-06,-1.31E-06,-2.56E-06
0.262,-1.67E-06,-1.42E-06,-2.11E-06,-1.31E-06,-2.53E-06
0.266,-1.65E-06,-1.40E-06,-2.09E-06,-1.30E-06,-2.50E-06
0.27,-1.65E-06,-1.39E-06,-2.07E-06,-1.30E-06,-2.48E-06
0.274,-1.64E-06,-1.37E-06,-2.05E-06,-1.30E-06,-2.47E-06
0.278,-1.64E-06,-1.36E-06,-2.03E-06,-1.30E-06,-2.46E-06
0.282,-1.62E-06,-1.35E-06,-2.01E-06,-1.30E-06,-2.44E-06
0.286,-1.62E-06,-1.34E-06,-1.99E-06,-1.29E-06,-2.44E-06
0.29,-1.61E-06,-1.34E-06,-1.98E-06,-1.30E-06,-2.43E-06
0.294,-1.61E-06,-1.34E-06,-1.97E-06,-1.30E-06,-2.43E-06
0.298,-1.61E-06,-1.33E-06,-1.96E-06,-1.30E-06,-2.43E-06
0.302,-1.62E-06,-1.33E-06,-1.95E-06,-1.30E-06,-2.44E-06
0.306,-1.62E-06,-1.32E-06,-1.94E-06,-1.31E-06,-2.45E-06
0.31,-1.62E-06,-1.33E-06,-1.92E-06,-1.32E-06,-2.46E-06
0.314,-1.62E-06,-1.33E-06,-1.91E-06,-1.32E-06,-2.47E-06
0.318,-1.62E-06,-1.34E-06,-1.90E-06,-1.32E-06,-2.49E-06
0.322,-1.62E-06,-1.34E-06,-1.89E-06,-1.32E-06,-2.50E-06
0.326,-1.63E-06,-1.35E-06,-1.88E-06,-1.32E-06,-2.51E-06
0.33,-1.63E-06,-1.35E-06,-1.88E-06,-1.32E-06,-2.52E-06
0.334,-1.63E-06,-1.35E-06,-1.87E-06,-1.33E-06,-2.54E-06
0.338,-1.63E-06,-1.35E-06,-1.86E-06,-1.33E-06,-2.56E-06
0.342,-1.63E-06,-1.36E-06,-1.85E-06,-1.33E-06,-2.58E-06
0.346,-1.62E-06,-1.37E-06,-1.83E-06,-1.33E-06,-2.61E-06
0.35,-1.62E-06,-1.38E-06,-1.82E-06,-1.33E-06,-2.63E-06
