Potential/V,Current/A,,,,,
,Bare,1nM,100pM,10pM,1pM,100fM
-0.062,-2.14E-06,-2.73E-06,-3.04E-06,-3.43E-06,-2.71E-06,-1.19E-06
-0.058,-2.21E-06,-2.77E-06,-3.10E-06,-3.48E-06,-2.70E-06,-1.20E-06
-0.054,-2.30E-06,-2.82E-06,-3.18E-06,-3.55E-06,-2.69E-06,-1.22E-06
-0.05,-2.41E-06,-2.88E-06,-3.27E-06,-3.63E-06,-2.68E-06,-1.24E-06
-0.046,-2.52E-06,-2.94E-06,-3.37E-06,-3.71E-06,-2.68E-06,-1.27E-06
-0.042,-2.63E-06,-3.01E-06,-3.48E-06,-3.81E-06,-2.69E-06,-1.29E-06
-0.038,-2.75E-06,-3.07E-06,-3.59E-06,-3.92E-06,-2.71E-06,-1.31E-06
-0.034,-2.88E-06,-3.15E-06,-3.71E-06,-4.03E-06,-2.74E-06,-1.33E-06
-0.03,-3.03E-06,-3.24E-06,-3.85E-06,-4.15E-06,-2.77E-06,-1.36E-06
-0.026,-3.20E-06,-3.33E-06,-4.00E-06,-4.28E-06,-2.80E-06,-1.39E-06
-0.022,-3.38E-06,-3.44E-06,-4.18E-06,-4.42E-06,-2.83E-06,-1.43E-06
-0.018,-3.58E-06,-3.53E-06,-4.40E-06,-4.56E-06,-2.87E-06,-1.47E-06
-0.014,-3.79E-06,-3.63E-06,-4.65E-06,-4.71E-06,-2.91E-06,-1.51E-06
-0.01,-4.01E-06,-3.72E-06,-4.88E-06,-4.87E-06,-2.96E-06,-1.55E-06
-0.006,-4.24E-06,-3.82E-06,-5.08E-06,-5.02E-06,-3.01E-06,-1.59E-06
-0.002,-4.46E-06,-3.91E-06,-5.25E-06,-5.19E-06,-3.06E-06,-1.62E-06
0.002,-4.68E-06,-4.02E-06,-5.44E-06,-5.37E-06,-3.11E-06,-1.66E-06
0.006,-4.89E-06,-4.15E-06,-5.66E-06,-5.55E-06,-3.16E-06,-1.70E-06
0.01,-5.09E-06,-4.28E-06,-5.92E-06,-5.75E-06,-3.23E-06,-1.74E-06
0.014,-5.29E-06,-4.40E-06,-6.18E-06,-5.94E-06,-3.30E-06,-1.77E-06
0.018,-5.48E-06,-4.52E-06,-6.45E-06,-6.15E-06,-3.38E-06,-1.81E-06
0.022,-5.68E-06,-4.62E-06,-6.74E-06,-6.34E-06,-3.47E-06,-1.85E-06
0.026,-5.89E-06,-4.72E-06,-7.03E-06,-6.55E-06,-3.56E-06,-1.88E-06
0.03,-6.10E-06,-4.81E-06,-7.32E-06,-6.74E-06,-3.64E-06,-1.91E-06
0.034,-6.32E-06,-4.90E-06,-7.60E-06,-6.92E-06,-3.73E-06,-1.95E-06
0.038,-6.58E-06,-4.99E-06,-7.87E-06,-7.08E-06,-3.81E-06,-1.98E-06
0.042,-6.86E-06,-5.07E-06,-8.14E-06,-7.23E-06,-3.90E-06,-2.01E-06
0.046,-7.16E-06,-5.15E-06,-8.40E-06,-7.35E-06,-3.98E-06,-2.04E-06
0.05,-7.48E-06,-5.21E-06,-8.64E-06,-7.46E-06,-4.06E-06,-2.07E-06
0.054,-7.79E-06,-5.26E-06,-8.87E-06,-7.55E-06,-4.13E-06,-2.10E-06
0.058,-8.07E-06,-5.29E-06,-9.06E-06,-7.61E-06,-4.19E-06,-2.12E-06
0.062,-8.34E-06,-5.30E-06,-9.22E-06,-7.66E-06,-4.25E-06,-2.14E-06
0.066,-8.60E-06,-5.29E-06,-9.34E-06,-7.69E-06,-4.30E-06,-2.16E-06
0.07,-8.82E-06,-5.28E-06,-9.42E-06,-7.71E-06,-4.34E-06,-2.17E-06
0.074,-9.03E-06,-5.25E-06,-9.46E-06,-7.70E-06,-4.38E-06,-2.18E-06
0.078,-9.22E-06,-5.20E-06,-9.46E-06,-7.67E-06,-4.40E-06,-2.18E-06
0.082,-9.38E-06,-5.14E-06,-9.42E-06,-7.61E-06,-4.41E-06,-2.17E-06
0.086,-9.50E-06,-5.06E-06,-9.35E-06,-7.52E-06,-4.40E-06,-2.16E-06
0.09,-9.59E-06,-4.97E-06,-9.22E-06,-7.39E-06,-4.38E-06,-2.15E-06
0.094,-9.62E-06,-4.86E-06,-9.07E-06,-7.26E-06,-4.34E-06,-2.12E-06
0.098,-9.60E-06,-4.74E-06,-8.88E-06,-7.09E-06,-4.29E-06,-2.10E-06
0.102,-9.55E-06,-4.60E-06,-8.66E-06,-6.91E-06,-4.22E-06,-2.07E-06
0.106,-9.50E-06,-4.46E-06,-8.41E-06,-6.72E-06,-4.15E-06,-2.04E-06
0.11,-9.46E-06,-4.31E-06,-8.14E-06,-6.52E-06,-4.07E-06,-1.99E-06
0.114,-9.42E-06,-4.16E-06,-7.83E-06,-6.32E-06,-3.97E-06,-1.95E-06
0.118,-9.35E-06,-4.01E-06,-7.52E-06,-6.12E-06,-3.89E-06,-1.90E-06
0.122,-9.22E-06,-3.85E-06,-7.20E-06,-5.91E-06,-3.79E-06,-1.85E-06
0.126,-9.05E-06,-3.70E-06,-6.88E-06,-5.70E-06,-3.69E-06,-1.80E-06
0.13,-8.86E-06,-3.54E-06,-6.55E-06,-5.48E-06,-3.59E-06,-1.74E-06
0.134,-8.66E-06,-3.39E-06,-6.23E-06,-5.27E-06,-3.50E-06,-1.69E-06
0.138,-8.44E-06,-3.24E-06,-5.93E-06,-5.05E-06,-3.39E-06,-1.63E-06
0.142,-8.22E-06,-3.11E-06,-5.63E-06,-4.85E-06,-3.29E-06,-1.58E-06
0.146,-8.00E-06,-2.98E-06,-5.34E-06,-4.66E-06,-3.19E-06,-1.52E-06
0.15,-7.76E-06,-2.85E-06,-5.07E-06,-4.47E-06,-3.09E-06,-1.48E-06
0.154,-7.54E-06,-2.73E-06,-4.81E-06,-4.28E-06,-3.00E-06,-1.42E-06
0.158,-7.31E-06,-2.61E-06,-4.56E-06,-4.11E-06,-2.91E-06,-1.38E-06
0.162,-7.10E-06,-2.50E-06,-4.34E-06,-3.94E-06,-2.83E-06,-1.33E-06
0.166,-6.88E-06,-2.40E-06,-4.13E-06,-3.79E-06,-2.75E-06,-1.30E-06
0.17,-6.67E-06,-2.31E-06,-3.93E-06,-3.64E-06,-2.67E-06,-1.26E-06
