June 8, 2022   16:19:15
Differential Pulse Voltammetry
File: e:\1nm_bead_fe3+_spge2.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.070V
ip = -2.061e-6A
Ap = -2.880e-7VA

Potential/V, Current/A

-0.146, -2.567e-6
-0.142, -2.570e-6
-0.138, -2.569e-6
-0.134, -2.565e-6
-0.130, -2.559e-6
-0.126, -2.546e-6
-0.122, -2.533e-6
-0.118, -2.524e-6
-0.114, -2.514e-6
-0.110, -2.508e-6
-0.106, -2.505e-6
-0.102, -2.502e-6
-0.098, -2.503e-6
-0.094, -2.508e-6
-0.090, -2.506e-6
-0.086, -2.503e-6
-0.082, -2.497e-6
-0.078, -2.492e-6
-0.074, -2.492e-6
-0.070, -2.495e-6
-0.066, -2.502e-6
-0.062, -2.507e-6
-0.058, -2.518e-6
-0.054, -2.533e-6
-0.050, -2.563e-6
-0.046, -2.601e-6
-0.042, -2.647e-6
-0.038, -2.692e-6
-0.034, -2.742e-6
-0.030, -2.791e-6
-0.026, -2.847e-6
-0.022, -2.900e-6
-0.018, -2.960e-6
-0.014, -3.020e-6
-0.010, -3.084e-6
-0.006, -3.151e-6
-0.002, -3.216e-6
0.002, -3.275e-6
0.006, -3.341e-6
0.010, -3.411e-6
0.014, -3.483e-6
0.018, -3.566e-6
0.022, -3.645e-6
0.026, -3.718e-6
0.030, -3.784e-6
0.034, -3.840e-6
0.038, -3.893e-6
0.042, -3.940e-6
0.046, -3.981e-6
0.050, -4.017e-6
0.054, -4.046e-6
0.058, -4.068e-6
0.062, -4.091e-6
0.066, -4.100e-6
0.070, -4.101e-6
0.074, -4.092e-6
0.078, -4.075e-6
0.082, -4.041e-6
0.086, -3.995e-6
0.090, -3.937e-6
0.094, -3.865e-6
0.098, -3.794e-6
0.102, -3.713e-6
0.106, -3.626e-6
0.110, -3.536e-6
0.114, -3.446e-6
0.118, -3.345e-6
0.122, -3.244e-6
0.126, -3.139e-6
0.130, -3.036e-6
0.134, -2.940e-6
0.138, -2.848e-6
0.142, -2.752e-6
0.146, -2.659e-6
0.150, -2.566e-6
0.154, -2.478e-6
0.158, -2.397e-6
0.162, -2.318e-6
0.166, -2.240e-6
0.170, -2.168e-6
0.174, -2.095e-6
0.178, -2.032e-6
0.182, -1.969e-6
0.186, -1.910e-6
0.190, -1.860e-6
0.194, -1.809e-6
0.198, -1.766e-6
0.202, -1.722e-6
0.206, -1.678e-6
0.210, -1.633e-6
0.214, -1.598e-6
0.218, -1.563e-6
0.222, -1.538e-6
0.226, -1.514e-6
0.230, -1.495e-6
0.234, -1.478e-6
0.238, -1.462e-6
0.242, -1.445e-6
0.246, -1.432e-6
0.250, -1.424e-6
0.254, -1.415e-6
0.258, -1.404e-6
0.262, -1.397e-6
0.266, -1.390e-6
0.270, -1.390e-6
0.274, -1.388e-6
0.278, -1.385e-6
0.282, -1.382e-6
0.286, -1.383e-6
0.290, -1.384e-6
0.294, -1.393e-6
0.298, -1.394e-6
0.302, -1.392e-6
0.306, -1.393e-6
0.310, -1.398e-6
0.314, -1.400e-6
0.318, -1.411e-6
0.322, -1.413e-6
0.326, -1.414e-6
0.330, -1.417e-6
0.334, -1.427e-6
0.338, -1.434e-6
0.342, -1.439e-6
0.346, -1.445e-6
0.350, -1.450e-6
