June 8, 2022   16:56:57
Differential Pulse Voltammetry
File: e:\10pm_bead_fe3+_spge15.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.010V
ip = -3.522e-6A
Ap = -5.913e-8VA

Potential/V, Current/A

-0.146, -2.251e-6
-0.142, -2.200e-6
-0.138, -2.155e-6
-0.134, -2.115e-6
-0.130, -2.084e-6
-0.126, -2.051e-6
-0.122, -2.020e-6
-0.118, -1.994e-6
-0.114, -1.972e-6
-0.110, -1.956e-6
-0.106, -1.947e-6
-0.102, -1.943e-6
-0.098, -1.947e-6
-0.094, -1.954e-6
-0.090, -1.969e-6
-0.086, -1.987e-6
-0.082, -2.015e-6
-0.078, -2.051e-6
-0.074, -2.096e-6
-0.070, -2.144e-6
-0.066, -2.205e-6
-0.062, -2.273e-6
-0.058, -2.350e-6
-0.054, -2.436e-6
-0.050, -2.542e-6
-0.046, -2.661e-6
-0.042, -2.805e-6
-0.038, -2.977e-6
-0.034, -3.182e-6
-0.030, -3.434e-6
-0.026, -3.754e-6
-0.022, -4.157e-6
-0.018, -4.647e-6
-0.014, -5.222e-6
-0.010, -5.953e-6
-0.006, -6.959e-6
-0.002, -8.305e-6
0.002, -9.863e-6
0.006, -1.124e-5
0.010, -1.194e-5
0.014, -1.177e-5
0.018, -1.088e-5
0.022, -9.738e-6
0.026, -8.756e-6
0.030, -8.166e-6
0.034, -7.975e-6
0.038, -8.093e-6
0.042, -8.419e-6
0.046, -8.864e-6
0.050, -9.351e-6
0.054, -9.858e-6
0.058, -1.039e-5
0.062, -1.094e-5
0.066, -1.148e-5
0.070, -1.202e-5
0.074, -1.254e-5
0.078, -1.303e-5
0.082, -1.349e-5
0.086, -1.390e-5
0.090, -1.424e-5
0.094, -1.451e-5
0.098, -1.472e-5
0.102, -1.484e-5
0.106, -1.488e-5
0.110, -1.482e-5
0.114, -1.466e-5
0.118, -1.441e-5
0.122, -1.406e-5
0.126, -1.363e-5
0.130, -1.314e-5
0.134, -1.260e-5
0.138, -1.202e-5
0.142, -1.140e-5
0.146, -1.076e-5
0.150, -1.012e-5
0.154, -9.474e-6
0.158, -8.849e-6
0.162, -8.248e-6
0.166, -7.678e-6
0.170, -7.139e-6
0.174, -6.641e-6
0.178, -6.174e-6
0.182, -5.746e-6
0.186, -5.358e-6
0.190, -5.014e-6
0.194, -4.702e-6
0.198, -4.420e-6
0.202, -4.157e-6
0.206, -3.924e-6
0.210, -3.710e-6
0.214, -3.523e-6
0.218, -3.358e-6
0.222, -3.215e-6
0.226, -3.086e-6
0.230, -2.982e-6
0.234, -2.895e-6
0.238, -2.819e-6
0.242, -2.751e-6
0.246, -2.696e-6
0.250, -2.644e-6
0.254, -2.598e-6
0.258, -2.557e-6
0.262, -2.529e-6
0.266, -2.501e-6
0.270, -2.482e-6
0.274, -2.471e-6
0.278, -2.457e-6
0.282, -2.441e-6
0.286, -2.438e-6
0.290, -2.431e-6
0.294, -2.429e-6
0.298, -2.431e-6
0.302, -2.439e-6
0.306, -2.445e-6
0.310, -2.463e-6
0.314, -2.474e-6
0.318, -2.487e-6
0.322, -2.495e-6
0.326, -2.510e-6
0.330, -2.521e-6
0.334, -2.544e-6
0.338, -2.561e-6
0.342, -2.582e-6
0.346, -2.605e-6
0.350, -2.630e-6
