June 8, 2022   17:06:18
Differential Pulse Voltammetry
File: e:\1pm_bead_fe3+_spge16.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.066V
ip = -1.989e-6A
Ap = -2.506e-7VA

Potential/V, Current/A

-0.146, -1.995e-6
-0.142, -1.953e-6
-0.138, -1.911e-6
-0.134, -1.868e-6
-0.130, -1.821e-6
-0.126, -1.781e-6
-0.122, -1.743e-6
-0.118, -1.709e-6
-0.114, -1.675e-6
-0.110, -1.647e-6
-0.106, -1.624e-6
-0.102, -1.608e-6
-0.098, -1.590e-6
-0.094, -1.575e-6
-0.090, -1.559e-6
-0.086, -1.549e-6
-0.082, -1.547e-6
-0.078, -1.549e-6
-0.074, -1.553e-6
-0.070, -1.553e-6
-0.066, -1.559e-6
-0.062, -1.571e-6
-0.058, -1.589e-6
-0.054, -1.614e-6
-0.050, -1.640e-6
-0.046, -1.669e-6
-0.042, -1.704e-6
-0.038, -1.746e-6
-0.034, -1.789e-6
-0.030, -1.839e-6
-0.026, -1.887e-6
-0.022, -1.938e-6
-0.018, -1.993e-6
-0.014, -2.061e-6
-0.010, -2.138e-6
-0.006, -2.226e-6
-0.002, -2.304e-6
0.002, -2.370e-6
0.006, -2.424e-6
0.010, -2.479e-6
0.014, -2.546e-6
0.018, -2.615e-6
0.022, -2.682e-6
0.026, -2.750e-6
0.030, -2.820e-6
0.034, -2.885e-6
0.038, -2.955e-6
0.042, -3.016e-6
0.046, -3.069e-6
0.050, -3.119e-6
0.054, -3.164e-6
0.058, -3.194e-6
0.062, -3.212e-6
0.066, -3.221e-6
0.070, -3.215e-6
0.074, -3.193e-6
0.078, -3.152e-6
0.082, -3.100e-6
0.086, -3.035e-6
0.090, -2.968e-6
0.094, -2.894e-6
0.098, -2.807e-6
0.102, -2.707e-6
0.106, -2.609e-6
0.110, -2.499e-6
0.114, -2.395e-6
0.118, -2.292e-6
0.122, -2.187e-6
0.126, -2.075e-6
0.130, -1.972e-6
0.134, -1.866e-6
0.138, -1.769e-6
0.142, -1.679e-6
0.146, -1.599e-6
0.150, -1.512e-6
0.154, -1.441e-6
0.158, -1.374e-6
0.162, -1.314e-6
0.166, -1.257e-6
0.170, -1.213e-6
0.174, -1.160e-6
0.178, -1.115e-6
0.182, -1.071e-6
0.186, -1.034e-6
0.190, -9.955e-7
0.194, -9.683e-7
0.198, -9.355e-7
0.202, -9.069e-7
0.206, -8.811e-7
0.210, -8.617e-7
0.214, -8.409e-7
0.218, -8.311e-7
0.222, -8.211e-7
0.226, -8.115e-7
0.230, -7.994e-7
0.234, -7.944e-7
0.238, -7.855e-7
0.242, -7.759e-7
0.246, -7.642e-7
0.250, -7.541e-7
0.254, -7.410e-7
0.258, -7.435e-7
0.262, -7.419e-7
0.266, -7.370e-7
0.270, -7.333e-7
0.274, -7.335e-7
0.278, -7.324e-7
0.282, -7.368e-7
0.286, -7.336e-7
0.290, -7.311e-7
0.294, -7.292e-7
0.298, -7.321e-7
0.302, -7.387e-7
0.306, -7.437e-7
0.310, -7.478e-7
0.314, -7.480e-7
0.318, -7.507e-7
0.322, -7.545e-7
0.326, -7.551e-7
0.330, -7.582e-7
0.334, -7.632e-7
0.338, -7.566e-7
0.342, -7.606e-7
0.346, -7.681e-7
0.350, -7.791e-7
