June 8, 2022   16:28:25
Differential Pulse Voltammetry
File: e:\100pm_bead_fe3+_spge6.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.082V
ip = -2.126e-5A
Ap = -2.810e-6VA

Potential/V, Current/A

-0.146, -2.630e-6
-0.142, -2.622e-6
-0.138, -2.619e-6
-0.134, -2.621e-6
-0.130, -2.629e-6
-0.126, -2.643e-6
-0.122, -2.657e-6
-0.118, -2.674e-6
-0.114, -2.702e-6
-0.110, -2.731e-6
-0.106, -2.770e-6
-0.102, -2.817e-6
-0.098, -2.872e-6
-0.094, -2.934e-6
-0.090, -3.008e-6
-0.086, -3.082e-6
-0.082, -3.171e-6
-0.078, -3.267e-6
-0.074, -3.376e-6
-0.070, -3.499e-6
-0.066, -3.627e-6
-0.062, -3.768e-6
-0.058, -3.924e-6
-0.054, -4.096e-6
-0.050, -4.290e-6
-0.046, -4.505e-6
-0.042, -4.727e-6
-0.038, -5.019e-6
-0.034, -5.411e-6
-0.030, -5.932e-6
-0.026, -6.573e-6
-0.022, -7.156e-6
-0.018, -7.507e-6
-0.014, -7.729e-6
-0.010, -7.931e-6
-0.006, -8.255e-6
-0.002, -8.793e-6
0.002, -9.452e-6
0.006, -1.012e-5
0.010, -1.084e-5
0.014, -1.160e-5
0.018, -1.241e-5
0.022, -1.325e-5
0.026, -1.412e-5
0.030, -1.501e-5
0.034, -1.593e-5
0.038, -1.684e-5
0.042, -1.775e-5
0.046, -1.865e-5
0.050, -1.951e-5
0.054, -2.036e-5
0.058, -2.115e-5
0.062, -2.188e-5
0.066, -2.251e-5
0.070, -2.302e-5
0.074, -2.340e-5
0.078, -2.364e-5
0.082, -2.373e-5
0.086, -2.368e-5
0.090, -2.347e-5
0.094, -2.312e-5
0.098, -2.263e-5
0.102, -2.201e-5
0.106, -2.127e-5
0.110, -2.043e-5
0.114, -1.950e-5
0.118, -1.850e-5
0.122, -1.747e-5
0.126, -1.641e-5
0.130, -1.534e-5
0.134, -1.430e-5
0.138, -1.329e-5
0.142, -1.232e-5
0.146, -1.139e-5
0.150, -1.051e-5
0.154, -9.699e-6
0.158, -8.957e-6
0.162, -8.275e-6
0.166, -7.654e-6
0.170, -7.077e-6
0.174, -6.552e-6
0.178, -6.078e-6
0.182, -5.660e-6
0.186, -5.287e-6
0.190, -4.964e-6
0.194, -4.671e-6
0.198, -4.411e-6
0.202, -4.177e-6
0.206, -3.968e-6
0.210, -3.775e-6
0.214, -3.610e-6
0.218, -3.467e-6
0.222, -3.346e-6
0.226, -3.241e-6
0.230, -3.149e-6
0.234, -3.065e-6
0.238, -2.990e-6
0.242, -2.920e-6
0.246, -2.857e-6
0.250, -2.795e-6
0.254, -2.743e-6
0.258, -2.698e-6
0.262, -2.662e-6
0.266, -2.626e-6
0.270, -2.589e-6
0.274, -2.547e-6
0.278, -2.506e-6
0.282, -2.469e-6
0.286, -2.438e-6
0.290, -2.406e-6
0.294, -2.374e-6
0.298, -2.339e-6
0.302, -2.302e-6
0.306, -2.272e-6
0.310, -2.242e-6
0.314, -2.208e-6
0.318, -2.173e-6
0.322, -2.132e-6
0.326, -2.094e-6
0.330, -2.062e-6
0.334, -2.032e-6
0.338, -1.999e-6
0.342, -1.963e-6
0.346, -1.924e-6
0.350, -1.882e-6
