June 8, 2022   16:26:14
Differential Pulse Voltammetry
File: e:\1nm_bead_fe3+_spge5.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.062V
ip = -3.243e-6A
Ap = -4.642e-7VA

Potential/V, Current/A

-0.146, -2.717e-6
-0.142, -2.706e-6
-0.138, -2.696e-6
-0.134, -2.684e-6
-0.130, -2.672e-6
-0.126, -2.656e-6
-0.122, -2.643e-6
-0.118, -2.638e-6
-0.114, -2.628e-6
-0.110, -2.630e-6
-0.106, -2.630e-6
-0.102, -2.634e-6
-0.098, -2.638e-6
-0.094, -2.645e-6
-0.090, -2.650e-6
-0.086, -2.652e-6
-0.082, -2.654e-6
-0.078, -2.662e-6
-0.074, -2.670e-6
-0.070, -2.684e-6
-0.066, -2.706e-6
-0.062, -2.732e-6
-0.058, -2.770e-6
-0.054, -2.820e-6
-0.050, -2.877e-6
-0.046, -2.940e-6
-0.042, -3.005e-6
-0.038, -3.074e-6
-0.034, -3.147e-6
-0.030, -3.239e-6
-0.026, -3.333e-6
-0.022, -3.435e-6
-0.018, -3.534e-6
-0.014, -3.633e-6
-0.010, -3.724e-6
-0.006, -3.818e-6
-0.002, -3.913e-6
0.002, -4.024e-6
0.006, -4.146e-6
0.010, -4.277e-6
0.014, -4.404e-6
0.018, -4.517e-6
0.022, -4.622e-6
0.026, -4.717e-6
0.030, -4.809e-6
0.034, -4.901e-6
0.038, -4.993e-6
0.042, -5.074e-6
0.046, -5.151e-6
0.050, -5.211e-6
0.054, -5.259e-6
0.058, -5.285e-6
0.062, -5.302e-6
0.066, -5.294e-6
0.070, -5.278e-6
0.074, -5.245e-6
0.078, -5.203e-6
0.082, -5.138e-6
0.086, -5.064e-6
0.090, -4.966e-6
0.094, -4.860e-6
0.098, -4.735e-6
0.102, -4.603e-6
0.106, -4.462e-6
0.110, -4.314e-6
0.114, -4.162e-6
0.118, -4.009e-6
0.122, -3.852e-6
0.126, -3.697e-6
0.130, -3.544e-6
0.134, -3.390e-6
0.138, -3.244e-6
0.142, -3.105e-6
0.146, -2.979e-6
0.150, -2.850e-6
0.154, -2.732e-6
0.158, -2.611e-6
0.162, -2.500e-6
0.166, -2.398e-6
0.170, -2.305e-6
0.174, -2.208e-6
0.178, -2.123e-6
0.182, -2.045e-6
0.186, -1.970e-6
0.190, -1.903e-6
0.194, -1.840e-6
0.198, -1.785e-6
0.202, -1.731e-6
0.206, -1.684e-6
0.210, -1.636e-6
0.214, -1.592e-6
0.218, -1.551e-6
0.222, -1.524e-6
0.226, -1.493e-6
0.230, -1.468e-6
0.234, -1.445e-6
0.238, -1.421e-6
0.242, -1.402e-6
0.246, -1.389e-6
0.250, -1.376e-6
0.254, -1.361e-6
0.258, -1.352e-6
0.262, -1.345e-6
0.266, -1.339e-6
0.270, -1.339e-6
0.274, -1.338e-6
0.278, -1.336e-6
0.282, -1.338e-6
0.286, -1.340e-6
0.290, -1.340e-6
0.294, -1.345e-6
0.298, -1.343e-6
0.302, -1.347e-6
0.306, -1.348e-6
0.310, -1.353e-6
0.314, -1.357e-6
0.318, -1.360e-6
0.322, -1.363e-6
0.326, -1.371e-6
0.330, -1.376e-6
0.334, -1.385e-6
0.338, -1.391e-6
0.342, -1.396e-6
0.346, -1.399e-6
0.350, -1.400e-6
