June 8, 2022   17:30:14
Differential Pulse Voltammetry
File: e:\100fm_bead_fe3+_spge24.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.046V
ip = -3.263e-7A
Ap = -3.356e-8VA

Potential/V, Current/A

-0.146, -1.739e-6
-0.142, -1.705e-6
-0.138, -1.676e-6
-0.134, -1.653e-6
-0.130, -1.638e-6
-0.126, -1.624e-6
-0.122, -1.605e-6
-0.118, -1.585e-6
-0.114, -1.571e-6
-0.110, -1.550e-6
-0.106, -1.536e-6
-0.102, -1.522e-6
-0.098, -1.509e-6
-0.094, -1.490e-6
-0.090, -1.485e-6
-0.086, -1.475e-6
-0.082, -1.465e-6
-0.078, -1.456e-6
-0.074, -1.456e-6
-0.070, -1.444e-6
-0.066, -1.445e-6
-0.062, -1.444e-6
-0.058, -1.437e-6
-0.054, -1.440e-6
-0.050, -1.448e-6
-0.046, -1.449e-6
-0.042, -1.456e-6
-0.038, -1.457e-6
-0.034, -1.461e-6
-0.030, -1.469e-6
-0.026, -1.481e-6
-0.022, -1.486e-6
-0.018, -1.501e-6
-0.014, -1.505e-6
-0.010, -1.521e-6
-0.006, -1.527e-6
-0.002, -1.537e-6
0.002, -1.539e-6
0.006, -1.552e-6
0.010, -1.554e-6
0.014, -1.564e-6
0.018, -1.570e-6
0.022, -1.584e-6
0.026, -1.591e-6
0.030, -1.601e-6
0.034, -1.603e-6
0.038, -1.606e-6
0.042, -1.603e-6
0.046, -1.608e-6
0.050, -1.600e-6
0.054, -1.593e-6
0.058, -1.581e-6
0.062, -1.569e-6
0.066, -1.557e-6
0.070, -1.544e-6
0.074, -1.522e-6
0.078, -1.500e-6
0.082, -1.476e-6
0.086, -1.449e-6
0.090, -1.423e-6
0.094, -1.395e-6
0.098, -1.365e-6
0.102, -1.334e-6
0.106, -1.305e-6
0.110, -1.277e-6
0.114, -1.247e-6
0.118, -1.221e-6
0.122, -1.192e-6
0.126, -1.167e-6
0.130, -1.146e-6
0.134, -1.128e-6
0.138, -1.109e-6
0.142, -1.092e-6
0.146, -1.075e-6
0.150, -1.058e-6
0.154, -1.040e-6
0.158, -1.030e-6
0.162, -1.024e-6
0.166, -1.021e-6
0.170, -1.023e-6
0.174, -1.018e-6
0.178, -1.011e-6
0.182, -1.007e-6
0.186, -1.004e-6
0.190, -1.002e-6
0.194, -9.979e-7
0.198, -9.943e-7
0.202, -9.873e-7
0.206, -9.825e-7
0.210, -9.788e-7
0.214, -9.764e-7
0.218, -9.756e-7
0.222, -9.736e-7
0.226, -9.747e-7
0.230, -9.738e-7
0.234, -9.709e-7
0.238, -9.693e-7
0.242, -9.694e-7
0.246, -9.613e-7
0.250, -9.598e-7
0.254, -9.543e-7
0.258, -9.564e-7
0.262, -9.586e-7
0.266, -9.575e-7
0.270, -9.569e-7
0.274, -9.552e-7
0.278, -9.565e-7
0.282, -9.611e-7
0.286, -9.633e-7
0.290, -9.634e-7
0.294, -9.604e-7
0.298, -9.600e-7
0.302, -9.635e-7
0.306, -9.654e-7
0.310, -9.685e-7
0.314, -9.711e-7
0.318, -9.749e-7
0.322, -9.835e-7
0.326, -9.943e-7
0.330, -9.995e-7
0.334, -1.002e-6
0.338, -1.005e-6
0.342, -1.010e-6
0.346, -1.015e-6
0.350, -1.022e-6
