June 8, 2022   16:31:01
Differential Pulse Voltammetry
File: e:\100pm_bead_fe3+_spge7.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001


Potential/V, Current/A

-0.146, -2.927e-6
-0.142, -2.861e-6
-0.138, -2.801e-6
-0.134, -2.746e-6
-0.130, -2.696e-6
-0.126, -2.653e-6
-0.122, -2.608e-6
-0.118, -2.564e-6
-0.114, -2.526e-6
-0.110, -2.491e-6
-0.106, -2.460e-6
-0.102, -2.436e-6
-0.098, -2.418e-6
-0.094, -2.409e-6
-0.090, -2.405e-6
-0.086, -2.400e-6
-0.082, -2.397e-6
-0.078, -2.397e-6
-0.074, -2.406e-6
-0.070, -2.423e-6
-0.066, -2.438e-6
-0.062, -2.453e-6
-0.058, -2.483e-6
-0.054, -2.525e-6
-0.050, -2.580e-6
-0.046, -2.642e-6
-0.042, -2.712e-6
-0.038, -2.797e-6
-0.034, -2.907e-6
-0.030, -3.042e-6
-0.026, -3.211e-6
-0.022, -3.419e-6
-0.018, -3.674e-6
-0.014, -3.973e-6
-0.010, -4.391e-6
-0.006, -5.033e-6
-0.002, -5.887e-6
0.002, -6.765e-6
0.006, -7.343e-6
0.010, -7.391e-6
0.014, -6.996e-6
0.018, -6.491e-6
0.022, -6.170e-6
0.026, -6.171e-6
0.030, -6.419e-6
0.034, -6.788e-6
0.038, -7.215e-6
0.042, -7.679e-6
0.046, -8.159e-6
0.050, -8.649e-6
0.054, -9.150e-6
0.058, -9.661e-6
0.062, -1.020e-5
0.066, -1.076e-5
0.070, -1.129e-5
0.074, -1.180e-5
0.078, -1.227e-5
0.082, -1.269e-5
0.086, -1.307e-5
0.090, -1.339e-5
0.094, -1.365e-5
0.098, -1.382e-5
0.102, -1.392e-5
0.106, -1.390e-5
0.110, -1.380e-5
0.114, -1.363e-5
0.118, -1.338e-5
0.122, -1.307e-5
0.126, -1.270e-5
0.130, -1.226e-5
0.134, -1.178e-5
0.138, -1.127e-5
0.142, -1.073e-5
0.146, -1.017e-5
0.150, -9.614e-6
0.154, -9.056e-6
0.158, -8.514e-6
0.162, -7.995e-6
0.166, -7.499e-6
0.170, -7.026e-6
0.174, -6.580e-6
0.178, -6.162e-6
0.182, -5.786e-6
0.186, -5.437e-6
0.190, -5.113e-6
0.194, -4.813e-6
0.198, -4.538e-6
0.202, -4.278e-6
0.206, -4.047e-6
0.210, -3.830e-6
0.214, -3.636e-6
0.218, -3.461e-6
0.222, -3.306e-6
0.226, -3.168e-6
0.230, -3.050e-6
0.234, -2.937e-6
0.238, -2.848e-6
0.242, -2.759e-6
0.246, -2.680e-6
0.250, -2.609e-6
0.254, -2.548e-6
0.258, -2.495e-6
0.262, -2.455e-6
0.266, -2.411e-6
0.270, -2.377e-6
0.274, -2.346e-6
0.278, -2.320e-6
0.282, -2.299e-6
0.286, -2.281e-6
0.290, -2.263e-6
0.294, -2.254e-6
0.298, -2.248e-6
0.302, -2.244e-6
0.306, -2.240e-6
0.310, -2.240e-6
0.314, -2.246e-6
0.318, -2.264e-6
0.322, -2.284e-6
0.326, -2.304e-6
0.330, -2.326e-6
0.334, -2.344e-6
0.338, -2.363e-6
0.342, -2.384e-6
0.346, -2.407e-6
0.350, -2.431e-6
