June 8, 2022   16:24:00
Differential Pulse Voltammetry
File: e:\1nm_bead_fe3+_spge4.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.066V
ip = -3.367e-6A
Ap = -4.375e-7VA

Potential/V, Current/A

-0.146, -2.515e-6
-0.142, -2.485e-6
-0.138, -2.460e-6
-0.134, -2.438e-6
-0.130, -2.418e-6
-0.126, -2.403e-6
-0.122, -2.392e-6
-0.118, -2.386e-6
-0.114, -2.383e-6
-0.110, -2.377e-6
-0.106, -2.374e-6
-0.102, -2.370e-6
-0.098, -2.372e-6
-0.094, -2.374e-6
-0.090, -2.379e-6
-0.086, -2.382e-6
-0.082, -2.385e-6
-0.078, -2.394e-6
-0.074, -2.407e-6
-0.070, -2.427e-6
-0.066, -2.445e-6
-0.062, -2.471e-6
-0.058, -2.495e-6
-0.054, -2.528e-6
-0.050, -2.574e-6
-0.046, -2.627e-6
-0.042, -2.686e-6
-0.038, -2.750e-6
-0.034, -2.815e-6
-0.030, -2.890e-6
-0.026, -2.976e-6
-0.022, -3.060e-6
-0.018, -3.155e-6
-0.014, -3.256e-6
-0.010, -3.359e-6
-0.006, -3.463e-6
-0.002, -3.563e-6
0.002, -3.663e-6
0.006, -3.768e-6
0.010, -3.894e-6
0.014, -4.031e-6
0.018, -4.174e-6
0.022, -4.317e-6
0.026, -4.461e-6
0.030, -4.593e-6
0.034, -4.721e-6
0.038, -4.838e-6
0.042, -4.942e-6
0.046, -5.035e-6
0.050, -5.118e-6
0.054, -5.186e-6
0.058, -5.236e-6
0.062, -5.266e-6
0.066, -5.270e-6
0.070, -5.255e-6
0.074, -5.222e-6
0.078, -5.165e-6
0.082, -5.090e-6
0.086, -4.996e-6
0.090, -4.885e-6
0.094, -4.757e-6
0.098, -4.621e-6
0.102, -4.466e-6
0.106, -4.302e-6
0.110, -4.131e-6
0.114, -3.957e-6
0.118, -3.781e-6
0.122, -3.612e-6
0.126, -3.444e-6
0.130, -3.281e-6
0.134, -3.131e-6
0.138, -2.975e-6
0.142, -2.830e-6
0.146, -2.695e-6
0.150, -2.566e-6
0.154, -2.443e-6
0.158, -2.335e-6
0.162, -2.228e-6
0.166, -2.135e-6
0.170, -2.048e-6
0.174, -1.963e-6
0.178, -1.886e-6
0.182, -1.816e-6
0.186, -1.756e-6
0.190, -1.699e-6
0.194, -1.648e-6
0.198, -1.601e-6
0.202, -1.557e-6
0.206, -1.518e-6
0.210, -1.485e-6
0.214, -1.447e-6
0.218, -1.416e-6
0.222, -1.391e-6
0.226, -1.365e-6
0.230, -1.343e-6
0.234, -1.324e-6
0.238, -1.303e-6
0.242, -1.289e-6
0.246, -1.279e-6
0.250, -1.267e-6
0.254, -1.259e-6
0.258, -1.249e-6
0.262, -1.241e-6
0.266, -1.233e-6
0.270, -1.227e-6
0.274, -1.225e-6
0.278, -1.225e-6
0.282, -1.223e-6
0.286, -1.223e-6
0.290, -1.222e-6
0.294, -1.220e-6
0.298, -1.219e-6
0.302, -1.218e-6
0.306, -1.217e-6
0.310, -1.217e-6
0.314, -1.216e-6
0.318, -1.217e-6
0.322, -1.215e-6
0.326, -1.216e-6
0.330, -1.218e-6
0.334, -1.218e-6
0.338, -1.216e-6
0.342, -1.213e-6
0.346, -1.210e-6
0.350, -1.207e-6
