1000mA,,1500mA,,2000mA,,,1A,,,1000mA,,1500mA,,2000mA,
In,Out,In,Out,In,Out,,1.5A,2min 21s,,In,Out,In,Out,In,Out
57.78,48.05,,,,,,,,,61.41,,,,,
57.82,47.65,,,,,,,,,61.45,,,,,
57.93,47.69,,,,,,,,,61.56,,,,,
57.94,48.03,,,,,,,,,61.57,,,,,
57.98,47.63,,,,,,,,,61.61,,,,,
58.1,47.87,,,,,,,,,61.73,,,,,
58.11,48.33,,,,,,,,,61.74,,,,,
58.13,49.2,,,,,,,,,61.76,,,,,
58.27,48.9,,,,,,,,,61.9,,,,,
58.27,48.51,,,,,,,,,61.9,,,,,
58.29,47.99,,,,,,,,,61.92,,,,,
58.42,47.21,,,,,,,,,62.05,,,,,
58.43,46.79,,,,,,,,,62.06,,,,,
58.47,46.83,,,,,,,,,62.1,,,,,
58.59,46.72,,,,,,,,,62.22,,,,,
58.6,46.33,,,,,,,,,62.23,,,,,
58.61,46.24,,,,,,,,,62.24,,,,,
58.76,46.23,,,,,,,,,62.39,,,,,
58.76,46.12,,,,,,,,,62.39,,,,,
58.78,45.8,,,,,,,,,62.41,,,,,
58.9,45.95,,,,,,,,,62.53,,,,,
58.93,45.76,,,,,,,,,62.56,,,,,
58.94,45.69,,,,,,,,,62.57,,,,,
59.06,45.61,,,,,,,,,62.69,,,,,
59.1,45.89,,,,,,,,,62.73,,,,,
59.12,46.44,,,,,,,,,62.75,,,,,
59.22,46.61,,,,,,,,,62.85,,,,,
59.27,46.7,,,,,,,,,62.9,,,,,
59.27,46.47,,,,,,,,,62.9,,,,,
59.35,46.65,,,,,,,,,62.98,,,,,
59.43,47.07,,,,,,,,,63.06,,,,,
59.43,47.2,,,,,,,,,63.06,,,,,
59.47,47.2,,,,,,,,,63.1,,,,,
59.58,47.47,,,,,,,,,63.21,,,,,
59.6,48.33,,,,,,,,,63.23,,,,,
59.62,49,,,,,,,,,63.25,,,,,
59.71,48.59,,,,,,,,,63.34,,,,,
59.78,48.25,,,,,,,,,63.41,,,,,
59.78,48.13,,,,,,,,,63.41,,,,,
59.86,47.83,,,,,,,,,63.49,,,,,
59.94,47.57,,,,,,,,,63.57,,,,,
59.95,47.65,,,,,,,,,63.58,,,,,
59.99,48.11,,,,,,,,,63.62,,,,,
60.1,48.81,,,,,,,,,63.73,,,,,
60.12,49.02,,,,,,,,,63.75,,,,,
60.14,49.25,,,,,,,,,63.77,,,,,
60.24,49,,,,,,,,,63.87,,,,,
60.29,48.23,,,,,,,,,63.92,,,,,
60.29,47.89,,,,,,,,,63.92,,,,,
60.38,47.29,,,,,,,,,64.01,,,,,
60.46,46.45,,,,,,,,,64.09,,,,,
60.47,46.32,,,,,,,,,64.1,,,,,
60.49,46.07,,,,,,,,,64.12,,,,,
60.62,46.37,,,,,,,,,64.25,,,,,
60.64,46.39,,,,,,,,,64.27,,,,,
60.66,46.15,,,,,,,,,64.29,,,,,
60.78,46.7,,,,,,,,,64.41,,,,,
60.82,47.32,,,,,,,,,64.45,,,,,
60.82,47.91,,,,,,,,,64.45,,,,,
60.85,48.3,,,,,,,,,64.48,,,,,
60.98,48.49,,,,,,,,,64.61,,,,,
60.99,47.92,,,,,,,,,64.62,,,,,
61,47.94,,,,,,,,,64.63,,,,,
61.09,48.09,,,,,,,,,64.72,,,,,
61.17,48.59,,,,,,,,,64.8,,,,,
61.17,49.4,,,,,,,,,64.8,,,,,
61.2,49.09,,,,,,,,,64.83,,,,,
61.29,49.26,,,,,,,,,64.92,,,,,
61.35,48.96,,,,,,,,,64.98,,,,,
61.35,48.76,,,,,,,,,64.98,,,,,
61.43,48.8,,,,,,,,,65.06,,,,,
61.5,48.51,,,,,,,,,65.13,,,,,
61.53,49.11,,,,,,,,,65.16,,,,,
61.54,49.35,,,,,,,,,65.17,,,,,
61.65,49.03,,,,,,,,,65.28,,,,,
61.71,48.79,,,,,,,,,65.34,,,,,
61.71,49.28,,,,,,,,,65.34,,,,,
61.75,49.29,,,,,,,,,65.38,,,,,
61.84,48.72,,,,,,,,,65.47,,,,,
61.89,47.99,,,,,,,,,65.52,,,,,
61.89,48.65,,,,,,,,,65.52,,,,,
61.93,49.17,,,,,,,,,65.56,,,,,
62.04,49.47,,,,,,,,,65.67,,,,,
62.07,49.19,,,,,,,,,65.7,,,,,
62.08,48.45,,,,,,,,,65.71,,,,,
62.11,48.4,,,,,,,,,65.74,,,,,
62.21,48.68,,,,,,,,,65.84,,,,,
62.26,49,,,,,,,,,65.89,,,,,
62.26,48.82,,,,,,,,,65.89,,,,,
62.3,49.28,,,,,,,,,65.93,,,,,
62.39,49.99,,,,,,,,,66.02,,,,,
62.44,50.81,,,,,,,,,66.07,,,,,
62.44,51.35,,,,,,,,,66.07,,,,,
62.49,51.67,,,,,,,,,66.12,,,,,
62.59,51.49,,,,,,,,,66.22,,,,,
62.62,51.57,,,,,,,,,66.25,,,,,
62.63,51.11,,,,,,,,,66.26,,,,,
62.7,51.57,,,,,,,,,66.33,,,,,
62.78,51.55,,,,,,,,,66.41,,,,,
62.81,51.81,,,,,,,,,66.44,,,,,
62.82,51.42,,,,,,,,,66.45,,,,,
62.85,50.74,,,,,,,,,66.48,,,,,
62.98,51.25,,,,,,,,,66.61,,,,,
63,51.47,,,,,,,,,66.63,,,,,
63,50.68,,,,,,,,,66.63,,,,,
63.05,50.23,,,,,,,,,66.68,,,,,
63.13,49.73,,,,,,,,,66.76,,,,,
63.18,49.16,,,,,,,,,66.81,,,,,
63.19,49.6,,,,,,,,,66.82,,,,,
63.23,50.27,,,,,,,,,66.86,,,,,
63.35,50.47,,,,,,,,,66.98,,,,,
63.37,50.43,,,,,,,,,67,,,,,
63.38,50.21,,,,,,,,,67.01,,,,,
63.41,50.15,,,,,,,,,67.04,,,,,
63.52,50.46,,,,,,,,,67.15,,,,,
63.56,50.6,,,,,,,,,67.19,,,,,
63.56,49.99,,,,,,,,,67.19,,,,,
63.58,49.44,,,,,,,,,67.21,,,,,
63.69,49.81,,,,,,,,,67.32,,,,,
63.74,50.07,,,,,,,,,67.37,,,,,
63.76,49.64,,,,,,,,,67.39,,,,,
63.77,49.31,,,,,,,,,67.4,,,,,
63.84,48.56,,,,,,,,,67.47,,,,,
63.91,48.09,,,,,,,,,67.54,,,,,
63.94,47.82,,,,,,,,,67.57,,,,,
63.94,48.32,,,,,,,,,67.57,,,,,
63.99,48.32,,,,,,,,,67.62,,,,,
64.11,48.41,,,,,,,,,67.74,,,,,
64.13,48.11,,,,,,,,,67.76,,,,,
64.14,48.09,,,,,,,,,67.77,,,,,
64.16,47.96,,,,,,,,,67.79,,,,,
64.25,47.99,,,,,,,,,67.88,,,,,
64.33,47.84,,,,,,,,,67.96,,,,,
64.33,47.75,,,,,,,,,67.96,,,,,
64.34,48.47,,,,,,,,,67.97,,,,,
64.39,48.25,,,,,,,,,68.02,,,,,
64.48,48.59,,,,,,,,,68.11,,,,,
64.53,48.5,,,,,,,,,68.16,,,,,
64.53,48.47,,,,,,,,,68.16,,,,,
64.54,48.51,,,,,,,,,68.17,,,,,
64.57,48.8,,,,,,,,,68.2,,,,,
64.69,49.16,,,,,,,,,68.32,,,,,
64.72,49.73,,,,,,,,,68.35,,,,,
64.72,49.81,,,,,,,,,68.35,,,,,
64.79,49.94,,,,,,,,,68.42,,,,,
64.86,49.96,,,,,,,,,68.49,,,,,
64.92,50.26,,,,,,,,,68.55,,,,,
64.92,49.91,,,,,,,,,68.55,,,,,
64.93,49.83,,,,,,,,,68.56,,,,,
65.01,49.68,,,,,,,,,68.64,,,,,
65.07,49.51,,,,,,,,,68.7,,,,,
