June 8, 2022   14:32:13
Differential Pulse Voltammetry
File: e:\bare electrode\bare fe3+_spge21.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.058V
ip = -2.672e-6A
Ap = -5.479e-7VA

Potential/V, Current/A

-0.146, -1.273e-6
-0.142, -1.264e-6
-0.138, -1.254e-6
-0.134, -1.243e-6
-0.130, -1.233e-6
-0.126, -1.219e-6
-0.122, -1.208e-6
-0.118, -1.192e-6
-0.114, -1.191e-6
-0.110, -1.187e-6
-0.106, -1.181e-6
-0.102, -1.181e-6
-0.098, -1.183e-6
-0.094, -1.185e-6
-0.090, -1.198e-6
-0.086, -1.215e-6
-0.082, -1.235e-6
-0.078, -1.269e-6
-0.074, -1.306e-6
-0.070, -1.348e-6
-0.066, -1.391e-6
-0.062, -1.434e-6
-0.058, -1.484e-6
-0.054, -1.539e-6
-0.050, -1.601e-6
-0.046, -1.672e-6
-0.042, -1.752e-6
-0.038, -1.835e-6
-0.034, -1.934e-6
-0.030, -2.032e-6
-0.026, -2.135e-6
-0.022, -2.238e-6
-0.018, -2.346e-6
-0.014, -2.447e-6
-0.010, -2.563e-6
-0.006, -2.674e-6
-0.002, -2.787e-6
0.002, -2.889e-6
0.006, -2.998e-6
0.010, -3.100e-6
0.014, -3.204e-6
0.018, -3.302e-6
0.022, -3.395e-6
0.026, -3.476e-6
0.030, -3.551e-6
0.034, -3.603e-6
0.038, -3.648e-6
0.042, -3.678e-6
0.046, -3.711e-6
0.050, -3.741e-6
0.054, -3.759e-6
0.058, -3.761e-6
0.062, -3.757e-6
0.066, -3.746e-6
0.070, -3.736e-6
0.074, -3.724e-6
0.078, -3.714e-6
0.082, -3.692e-6
0.086, -3.659e-6
0.090, -3.614e-6
0.094, -3.568e-6
0.098, -3.522e-6
0.102, -3.482e-6
0.106, -3.436e-6
0.110, -3.390e-6
0.114, -3.329e-6
0.118, -3.295e-6
0.122, -3.250e-6
0.126, -3.202e-6
0.130, -3.146e-6
0.134, -3.087e-6
0.138, -3.023e-6
0.142, -2.980e-6
0.146, -2.931e-6
0.150, -2.882e-6
0.154, -2.836e-6
0.158, -2.791e-6
0.162, -2.753e-6
0.166, -2.709e-6
0.170, -2.664e-6
0.174, -2.614e-6
0.178, -2.564e-6
0.182, -2.512e-6
0.186, -2.460e-6
0.190, -2.408e-6
0.194, -2.351e-6
0.198, -2.297e-6
0.202, -2.238e-6
0.206, -2.180e-6
0.210, -2.121e-6
0.214, -2.063e-6
0.218, -1.996e-6
0.222, -1.936e-6
0.226, -1.869e-6
0.230, -1.806e-6
0.234, -1.743e-6
0.238, -1.686e-6
0.242, -1.623e-6
0.246, -1.565e-6
0.250, -1.506e-6
0.254, -1.448e-6
0.258, -1.395e-6
0.262, -1.350e-6
0.266, -1.303e-6
0.270, -1.260e-6
0.274, -1.210e-6
0.278, -1.166e-6
0.282, -1.125e-6
0.286, -1.089e-6
0.290, -1.054e-6
0.294, -1.023e-6
0.298, -9.825e-7
0.302, -9.488e-7
0.306, -9.226e-7
0.310, -9.016e-7
0.314, -8.804e-7
0.318, -8.608e-7
0.322, -8.335e-7
0.326, -8.067e-7
0.330, -7.837e-7
0.334, -7.670e-7
0.338, -7.549e-7
0.342, -7.417e-7
0.346, -7.304e-7
0.350, -7.208e-7
