June 8, 2022   14:04:09
Differential Pulse Voltammetry
File: e:\bare electrode\bare fe3+_spge12.bin.csv
Data Source:  Experiment
Instrument Model:  CHI650E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = -0.15
Final E (V) = 0.35
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 10
Sensitivity (A/V) = 0.001

Ep = 0.082V
ip = -3.319e-6A
Ap = -5.533e-7VA

Potential/V, Current/A

-0.146, -3.080e-6
-0.142, -3.043e-6
-0.138, -3.006e-6
-0.134, -2.969e-6
-0.130, -2.934e-6
-0.126, -2.890e-6
-0.122, -2.854e-6
-0.118, -2.816e-6
-0.114, -2.784e-6
-0.110, -2.751e-6
-0.106, -2.724e-6
-0.102, -2.701e-6
-0.098, -2.681e-6
-0.094, -2.667e-6
-0.090, -2.650e-6
-0.086, -2.628e-6
-0.082, -2.604e-6
-0.078, -2.579e-6
-0.074, -2.557e-6
-0.070, -2.539e-6
-0.066, -2.526e-6
-0.062, -2.528e-6
-0.058, -2.534e-6
-0.054, -2.549e-6
-0.050, -2.577e-6
-0.046, -2.609e-6
-0.042, -2.646e-6
-0.038, -2.691e-6
-0.034, -2.738e-6
-0.030, -2.792e-6
-0.026, -2.857e-6
-0.022, -2.919e-6
-0.018, -2.986e-6
-0.014, -3.060e-6
-0.010, -3.138e-6
-0.006, -3.223e-6
-0.002, -3.319e-6
0.002, -3.414e-6
0.006, -3.520e-6
0.010, -3.635e-6
0.014, -3.762e-6
0.018, -3.888e-6
0.022, -4.015e-6
0.026, -4.135e-6
0.030, -4.245e-6
0.034, -4.354e-6
0.038, -4.471e-6
0.042, -4.581e-6
0.046, -4.689e-6
0.050, -4.790e-6
0.054, -4.873e-6
0.058, -4.948e-6
0.062, -5.015e-6
0.066, -5.073e-6
0.070, -5.120e-6
0.074, -5.161e-6
0.078, -5.170e-6
0.082, -5.174e-6
0.086, -5.160e-6
0.090, -5.134e-6
0.094, -5.103e-6
0.098, -5.070e-6
0.102, -5.017e-6
0.106, -4.964e-6
0.110, -4.905e-6
0.114, -4.840e-6
0.118, -4.767e-6
0.122, -4.684e-6
0.126, -4.590e-6
0.130, -4.489e-6
0.134, -4.387e-6
0.138, -4.288e-6
0.142, -4.181e-6
0.146, -4.069e-6
0.150, -3.951e-6
0.154, -3.825e-6
0.158, -3.694e-6
0.162, -3.573e-6
0.166, -3.447e-6
0.170, -3.322e-6
0.174, -3.197e-6
0.178, -3.069e-6
0.182, -2.943e-6
0.186, -2.820e-6
0.190, -2.697e-6
0.194, -2.577e-6
0.198, -2.465e-6
0.202, -2.349e-6
0.206, -2.238e-6
0.210, -2.132e-6
0.214, -2.028e-6
0.218, -1.929e-6
0.222, -1.843e-6
0.226, -1.756e-6
0.230, -1.676e-6
0.234, -1.599e-6
0.238, -1.519e-6
0.242, -1.442e-6
0.246, -1.374e-6
0.250, -1.309e-6
0.254, -1.251e-6
0.258, -1.199e-6
0.262, -1.148e-6
0.266, -1.103e-6
0.270, -1.062e-6
0.274, -1.021e-6
0.278, -9.788e-7
0.282, -9.471e-7
0.286, -9.138e-7
0.290, -8.858e-7
0.294, -8.604e-7
0.298, -8.348e-7
0.302, -8.111e-7
0.306, -7.909e-7
0.310, -7.717e-7
0.314, -7.534e-7
0.318, -7.454e-7
0.322, -7.344e-7
0.326, -7.280e-7
0.330, -7.185e-7
0.334, -7.133e-7
0.338, -6.994e-7
0.342, -6.940e-7
0.346, -6.919e-7
0.350, -6.931e-7
